Fecha,Hora,ZP,imecas,zona,contaminante,color
2019-05-01,1,NOO3,0.0,NO,O3,gray
2019-05-01,2,NOO3,0.0,NO,O3,gray
2019-05-01,3,NOO3,0.0,NO,O3,gray
2019-05-01,4,NOO3,0.0,NO,O3,gray
2019-05-01,5,NOO3,6.0,NO,O3,gray
2019-05-01,6,NOO3,4.0,NO,O3,gray
2019-05-01,7,NOO3,1.0,NO,O3,gray
2019-05-01,8,NOO3,2.0,NO,O3,gray
2019-05-01,9,NOO3,5.0,NO,O3,gray
2019-05-01,10,NOO3,16.0,NO,O3,gray
2019-05-01,11,NOO3,28.0,NO,O3,gray
2019-05-01,12,NOO3,46.0,NO,O3,gray
2019-05-01,13,NOO3,84.0,NO,O3,gray
2019-05-01,14,NOO3,103.0,NO,O3,gray
2019-05-01,15,NOO3,106.0,NO,O3,gray
2019-05-01,16,NOO3,120.0,NO,O3,gray
2019-05-01,17,NOO3,86.0,NO,O3,gray
2019-05-01,18,NOO3,57.0,NO,O3,gray
2019-05-01,19,NOO3,45.0,NO,O3,gray
2019-05-01,20,NOO3,33.0,NO,O3,gray
2019-05-01,21,NOO3,31.0,NO,O3,gray
2019-05-01,22,NOO3,30.0,NO,O3,gray
2019-05-01,23,NOO3,24.0,NO,O3,gray
2019-05-01,24,NOO3,30.0,NO,O3,gray
2019-05-02,1,NOO3,24.0,NO,O3,gray
2019-05-02,2,NOO3,23.0,NO,O3,gray
2019-05-02,3,NOO3,25.0,NO,O3,gray
2019-05-02,4,NOO3,26.0,NO,O3,gray
2019-05-02,5,NOO3,23.0,NO,O3,gray
2019-05-02,6,NOO3,10.0,NO,O3,gray
2019-05-02,7,NOO3,2.0,NO,O3,gray
2019-05-02,8,NOO3,2.0,NO,O3,gray
2019-05-02,9,NOO3,4.0,NO,O3,gray
2019-05-02,10,NOO3,15.0,NO,O3,gray
2019-05-02,11,NOO3,22.0,NO,O3,gray
2019-05-02,12,NOO3,36.0,NO,O3,gray
2019-05-02,13,NOO3,47.0,NO,O3,gray
2019-05-02,14,NOO3,50.0,NO,O3,gray
2019-05-02,15,NOO3,49.0,NO,O3,gray
2019-05-02,16,NOO3,49.0,NO,O3,gray
2019-05-02,17,NOO3,47.0,NO,O3,gray
2019-05-02,18,NOO3,44.0,NO,O3,gray
2019-05-02,19,NOO3,44.0,NO,O3,gray
2019-05-02,20,NOO3,36.0,NO,O3,gray
2019-05-02,21,NOO3,33.0,NO,O3,gray
2019-05-02,22,NOO3,29.0,NO,O3,gray
2019-05-02,23,NOO3,26.0,NO,O3,gray
2019-05-02,24,NOO3,21.0,NO,O3,gray
2019-05-03,1,NOO3,19.0,NO,O3,gray
2019-05-03,2,NOO3,19.0,NO,O3,gray
2019-05-03,3,NOO3,14.0,NO,O3,gray
2019-05-03,4,NOO3,17.0,NO,O3,gray
2019-05-03,5,NOO3,14.0,NO,O3,gray
2019-05-03,6,NOO3,7.0,NO,O3,gray
2019-05-03,7,NOO3,3.0,NO,O3,gray
2019-05-03,8,NOO3,2.0,NO,O3,gray
2019-05-03,9,NOO3,4.0,NO,O3,gray
2019-05-03,10,NOO3,10.0,NO,O3,gray
2019-05-03,11,NOO3,26.0,NO,O3,gray
2019-05-03,12,NOO3,42.0,NO,O3,gray
2019-05-03,13,NOO3,98.0,NO,O3,gray
2019-05-03,14,NOO3,113.0,NO,O3,gray
2019-05-03,15,NOO3,103.0,NO,O3,gray
2019-05-03,16,NOO3,76.0,NO,O3,gray
2019-05-03,17,NOO3,51.0,NO,O3,gray
2019-05-03,18,NOO3,46.0,NO,O3,gray
2019-05-03,19,NOO3,41.0,NO,O3,gray
2019-05-03,20,NOO3,38.0,NO,O3,gray
2019-05-03,21,NOO3,32.0,NO,O3,gray
2019-05-03,22,NOO3,23.0,NO,O3,gray
2019-05-03,23,NOO3,14.0,NO,O3,gray
2019-05-03,24,NOO3,21.0,NO,O3,gray
2019-05-04,1,NOO3,29.0,NO,O3,gray
2019-05-04,2,NOO3,18.0,NO,O3,gray
2019-05-04,3,NOO3,11.0,NO,O3,gray
2019-05-04,4,NOO3,14.0,NO,O3,gray
2019-05-04,5,NOO3,11.0,NO,O3,gray
2019-05-04,6,NOO3,7.0,NO,O3,gray
2019-05-04,7,NOO3,4.0,NO,O3,gray
2019-05-04,8,NOO3,3.0,NO,O3,gray
2019-05-04,9,NOO3,6.0,NO,O3,gray
